Filename,Content
text_10.txt,"Segment Widget - Introduction
Volt MX Iris Tutorials

Segment Widget - Introduction

1. Design a Segment


Drag the segment widget onto the design canvas.

Position and size the segment widget.

Drag widgets and skin them to design the segment row.

2. Assign Data To Segment


Click Master Data property to show the data input dialog.

Provide row data to the segment and use add button to add new data row.

Once data input is complete, see real time reflection on design canvas .

3. Design A Row Template and Assign it to Segment


Design a row template by using widgets placed under a flex container.

See the real time reflection on the row template on the device canvas.

Assign the row template to segment.

All the items will use this template to display data uniformly.

4. View prototype on iris application preview


"
text_11.txt,"Segment Widget - Advanced
Volt MX Iris Tutorials

segment widget - Advanced

1. Assign Data To Segment Through JS API


Create a JSON array with data for each row item and the template a row will use to render itself.

Use the setData API to set the JSON data to the segment.

Invoke this function on the form preshow lifecycle event.

2. Add Interactivity To The Segment


Use addAll API to add append rows to existing segment data.

Add interactivity to the segment by using the onReachingEnd scrolling event.

On the callback of this event, map the function to append the data.

3. Read, Updated And Delete Data from Segment


Define onRowClick event of the segment widget and pass row and section index to callback.

Use data property with selected row index to fetch the selected row data.

Use setDataAt API to update the data at a particular index of the segment data.

Use removeAt API to remove the data at a particular index of the segment data.

4. Run The App On Functional Preview
"
text_13.txt,"Working with Named Actions
Volt MX Iris Tutorials

Working with named actions

1. creating named actions


Named Action Creation

Create a new named action for the desired channel.

Action Selection

Select Set Widget Property from the action library to build the named action sequence.

UX Field Selection

Select the desired text box fields that need to be reset.

Action Configuration

Reset the selected text box fields by configuring the text property to a null value.

2. Assigning Named Actions


Widget Selection

Select the button widget which is to be associated with the Named Action.

Named Action Selection

Right Click on the Named Action which is to be assigned to button widget.

Assignment

Assign the Named Action to the On Click event of the button.

3. Calling Named Actions


Widget Selection

Select the button widget which is to be associated with the Named Action.

Event Selection

Select the On-Click event of the button from the Action tab.

Action Selection

Select Call Action from the action library to build the desired action sequence for the On-Click event.

Named Action Association

Configure the Call Action sequence by selecting the desired Named Action."
text_12.txt,"Notes and Comments
Volt MX Iris Tutorials

Notes and Comments

1. Documenting Notes in Iris


Widget Selection

Select the widget or form on which one would like to capture and document Notes.

Documenting Notes

Create, Edit and Save notes with respect to the selected widget or form, in rich text format.

Toggle Badges

Switch ON badges to view a graphical representation of the notes documented, on a form.

Publish To Cloud

Publish the application preview to the cloud for collaboration with peers.

2. Reviewers Point of View – Providing Feedback


Provide Feedback

Touch screen of Iris App Preview with 2 fingers to provide comments.

Create Comment

Select the ‘create note’ option to provide feedback and comments on the particular form on the mobile application preview.

Post Comment To Designer

Enter the comment and post it to the designer.

3. Designers Point of View – Receiving Feedback


Feedback Notifications

View feedback notifications from peers on the Iris console.

View Comments History

View the entire list of comments provided with respect to the particular form in the mobile application.

Respond To Comments

Edit and respond to comments as required or even delete comments as desired."
text_16.txt,"Volt MX APIs - Touch ID
Volt MX Iris Tutorials

Volt MX APIs - Touch ID API

1. Link the Touch ID feature to your form


Drag a button widget for invoking for invoking touch ID functionality.

Add an onClick action to the button widget.

Through action editor, invoke the function that you will add as part of the next step.

2. Implement the JavaScript code using the Touch ID APIs
function isTouchIDEnabled() {
    var status = voltmx.localAuthentication.getStatusForAuthenticationMode(constants.LOCAL_AUTHENTICATION_MODE_TOUCH_ID);
    if (status == 5000) {
        voltmx.localAuthentication.authenticate(constants.LOCAL_AUTHENTICATION_MODE_TOUCH_ID, touchID_return, {
            ""promptMessage"": ""Place your finger on the home button to login""
        });
    } else {
        var msg = ""Touch ID is not enabled on your device"";
        voltmx.ui.Alert({
            message: msg,
            alertType: constants.ALERT_TYPE_INFO,
            yesLabel: ""Close""
        }, {});
    }
}

function touchID_return(status, message) {
    if (status == 5000) {
        frmDashboard.show();
    } else {
        var return_message = status + "":"" + message;
        voltmx.ui.Alert({
            message: return_message,
            alertType: constants.ALERT_TYPE_INFO,
            yesLabel: ""Close""
        }, {});
    }
}
Invoke the API to check if the Touch ID is enabled.

If Touch ID is enabled, call the authentication API to invoke the Touch ID prompt.

The call back function of the Authenticate API, where you will implement the logic for the authentication success and failure scenarios.

3. Application preview when the authentication API is invoked.


Configure the expression for the If condition. If the Widget Property confirmpasswordtxt.text is Not Equal to passwordtxt.text.

In the Action Editor that opens up, click on If Condition listed under the Conditions group.

An If condition is added to the action sequence."
text_17.txt,"Package Web Content Locally
Volt MX Iris Tutorials

Package Web Content locally

1. Import Web Assets


Right click on Localfiles under Web and Click on Import to Import the required web content.

Web assets can also be directly copied into the Resource Location.

Once Imported these Assets appear under the Localfiles node.

2. edit hTML content


To modify the web content, click the file to open it in Code Editor.

Make the required changes to the content.

Changes reflect instantly in the Live Preview tab.

3. Assign The Source to browser widget


Navigate to the Browser widget Properties.

Edit the Master Data property. Set the Type to Local and specify index.html in the URL field.

Right click on the browser widget and enable Javascript Execution to see a live rendering on the browser widget.

4.App Preview


Login into App Preview and launch the app.

Clicking on Add button in the Claims form opens the Signature Capture form.

Clicking on Add button in the Claims form opens the Signature Capture form."
text_15.txt,"Internationalization
Volt MX Iris Tutorials

Internationalization

1. Enable Internationalization


Click on Project Settings.

In the Project Settings dialogue that opens up, click Enable i18n. Click Edit to configure the required locales.

2. Add Locales


Click Configure Locales button to add locales to the application.

Select all the required locales. If the locale you are looking for is not available in the predefined locales, go to the Custom tab and define the required locale.

Once the locales are selected, go back to the Configure Internationalization tab and add the required keys.

3. Assign Keys


Once internationalization is enabled in the application a drop down to assign the i18n key will appear in the Look panel. Select an widget and assign the required i18 key to the widget.

Locale can be switched right from canvas.

4. App Preview
"
text_14.txt,"Working with the Browser Widget
Volt MX Iris Tutorials

Working with the browser widget

1. Setup the browser widget to link a web URL


Widget Selection

Drag the browser widget onto the design canvas.

Widget Properties

Navigate to the master data properties.

HTML Content Selection

Select the URL option to render remotely hosted web content.

Widget Configuration

Provide the URL of the web page and select the get method to retrieve information.

Save Configurations

Submit the configuration and save the design settings.

2. Setup the browser widget to embed static HTML content in rich text


Widget Selection

Drag the browser widget onto the design canvas.

Widget Properties

Navigate to the master data properties.

HTML Content Selection

Select the Content option to embed static HTML content.

Widget Configuration

Provide the HTML content into the rich text area and submit.

Additional Configurations

Enable the Zoom in/out option in the browser and save all configurations.

3. View prototype on iris application preview


Log in into Iris App Preview.

Enter the short code of the published app.

View working prototype of the application."
text_2.txt,"Working with Named Actions
Volt MX Iris Tutorials

Working with named actions

1. creating named actions


Named Action Creation

Create a new named action for the desired channel.

Action Selection

Select Set Widget Property from the action library to build the named action sequence.

UX Field Selection

Select the desired text box fields that need to be reset.

Action Configuration

Reset the selected text box fields by configuring the text property to a null value.

2. Assigning Named Actions


Widget Selection

Select the button widget which is to be associated with the Named Action.

Named Action Selection

Right Click on the Named Action which is to be assigned to button widget.

Assignment

Assign the Named Action to the On Click event of the button.

3. Calling Named Actions


Widget Selection

Select the button widget which is to be associated with the Named Action.

Event Selection

Select the On-Click event of the button from the Action tab.

Action Selection

Select Call Action from the action library to build the desired action sequence for the On-Click event.

Named Action Association

Configure the Call Action sequence by selecting the desired Named Action."
text_3.txt,"APIs - API Management
A Volt MX Foundry app comprises a group of services, shared and non-shared services. With API Management, you can manage (create, edit, and delete) shared services (identity, integration, orchestration, and objects) without linking or configuring them within an app. After configuring the services in the APIs page, you can edit, clone, view a sample code, and delete a service. When you create the services in the APIs page, the services are not linked to apps automatically. You can link the services across any apps created for that account in Volt MX Foundry Console. The APIs page also allows you to view the list of apps or services that are using or referencing a given service. When you make changes to the services in the APIs page, the changes will be reflected in the services associated with other apps.

Note:  You can edit a service. When you make a change to the service, the changes will be reflected in the services associated with other apps.

You cannot delete a service if it is associated with an app or a service.

To create services through the APIs page, follow these steps:

In the Volt MX Foundry Console, in the left-pane, click the API Management tab to display the services tabs such as APIs, Custom Code, and Custom Data Adapters. By default the Identity service tab is selected under the APIs tab.



Under the APIs page, the Identity, Integration, Orchestration, and Objects tabs appear and display list the existing services (if any). Under the APIs, the Identity, Integration, Orchestration, and Objects views display the following columns:

Column	Description
NAME	Displays the Name of the service.
URL	Displays the URL of the service.
Note: The URL column is displayed only for identity service.
ENDPOINT TYPE / SERVICE TYPE	Displays the type of the service. The TYPE column is displayed only for identity service.
Note:  The SERVICE TYPE column is displayed only for the Integration service. And the ENDPOINT TYPE column is displayed only for the Objects service.
ASSOCIATED APPS	Displays the View hyperlink. When you click the View link, the system displays the Associated Apps page. The Associated Apps page displays the number of apps associated with a particular service. For more details, refer to Associated Apps
MODIFIED BY	Displays the name of the user.
MODIFIED ON	Displays the date and time of the modified service.
From the APIs page, follow these steps to create services:

Identity

Integration

Orchestration

Objects

Identity Service
Volt MX Foundry identity services help you secure your application by adding an authentication layer.

How to Create an Identity Service in APIs
In Volt MX Foundry Console, select API Management from the left navigation panel. The Identity page in the API tab appears by default. The Identity page appears and lists the existing identity services (if any). The fields for an identity service are displayed such as NAME, URL, TYPE, ASSOCIATED APPS, MODIFIED BY, and MODIFIED ON.
Click CONFIGURE NEW. A new identity service is added.
Configure the details for the identity service. For more details, refer to Identity.
Note:

You can perform different actions on an existing service such as edit and delete. For more details, refer to Context Based Options.
You can configure a default timeout for the apps globally in API Management. For more details, refer to Service Configuration > Identity Timeout Settings.
Enabling cross-origin resource sharing (CORS) allows external web applications on domains to access the identity services in your Volt MX Foundry account. For more details, refer to Identity Service Security Settings.
Integration Service
An Integration Service is an application component that represents the application interaction with an external system or data source.

How to Create an Integration Service in APIs
In Volt MX Foundry Console, select API Management from the left navigation panel.
In the APIs page, click the Integration tab.
The Integration page appears and lists the existing integration services (if any). The fields for an integration service are displayed such as NAME, SERVICE TYPE, ASSOCIATED APPS, VERSION, MODIFIED BY, and MODIFIED ON.
Click CONFIGURE NEW. A service definition tab is added.
Configure the details for the integration service. For more details, refer to Integration.

Note:  After creating an integration service in the APIs, you can perform different actions on an existing service such as edit, clone, view a sample code, delete all versions of a service, manage versions of a service, and export an integration service. For more details, refer to Context Based Options.
Services created under the APIs page are not linked to apps. You can link or unlink services to an app only through the Existing Services dialog while you are adding apps.

Orchestration Service
An Orchestration service leverages the concept of combining multiple integration services into a single orchestration service to reduce the complexity and number of calls from the app to the backend.

How to Create an Orchestration Service in APIs
In Volt MX Foundry Console, select API Management from the left navigation panel.
In the APIs page, click the Orchestration tab.
The Orchestration page appears and lists the existing orchestration services (if any). The fields for an orchestration service are displayed, such as NAME, ASSOCIATED APPS, VERSION, MODIFIED BY, and MODIFIED ON.
Click CONFIGURE NEW. A service definition tab is added.
Configure the details for the orchestration service. For more details, refer to Orchestration.

Note:  After creating an orchestration service in the APIs, you can perform different actions on an existing service such as edit, clone, view a sample code, delete all versions of a service, manage versions of a service, and export an orchestration service. For more details, refer to Context Based Options.

Services created under the APIs page are not linked to apps. You can link or unlink services to an app only through the Existing Services dialog while you are adding apps.

Object Service
Volt MX Foundry Object Services enable model-driven application design and development by following a microservices architectural approach to create reusable components and link them to fit into your solution.

How to Create an Object Service in APIs
In the APIs page, click the Objects tab.
The Objects page appears and lists the existing objects services (if any). The fields for an object service are displayed, such as NAME, ENDPOINT TYPE, VERSION, MODIFIED BY, and MODIFIED ON.
Click CONFIGURE NEW. A service definition tab is added.
Configure the details for the object service. For more details, refer to Objects.

Note:  After creating an object service in the APIs, you can perform different actions on an existing service such as edit, clone, clone app data model, sample code, unlink an object service or delete a specific version of a service. For more details, refer to Context Based Options.

Services created under the APIs page are not linked to apps. You can link or unlink services to an app only through the Existing Services dialog while you are adding apps.

How to View Associated Apps in APIs
After you link services (identity, integration, orchestration, and objects) created in the APIs page, you can view the list of apps that are associated to the services through the Associated Apps page. From the Associated Apps page, you can edit the app and unlink the app from the service.

To view associated apps, follow these steps:

In the APIs page, click the service (identity, integration, orchestration, objects) tab to display the service details page.



Click the View link under the ASSOCIATED APPS column to view the apps associated to the service. The Associated Apps dialog appears with the list of apps linked to the service for the current version. You can change the version of the service if required.



From the Associated Apps page, you can perform operations such as edit the app and unlink the app from the service. For identity services, from the Associated Apps page you can also enable SSO for the application.

To edit the app through the Associated Apps page, hover your cursor over the required service, click the Settings button, and then click Edit.
To enable SSO for the app through the Associated Apps page, hover your cursor over the required service, click the Settings button, and then click Enable SSO. You must republish the app for this new setting to take effect. For more information about SSO for applications, refer to Application SSO.
To unlink the app through the Associated Apps page, hover your cursor over the required service, click the Settings button, and then click Unlink app. When you click the Unlink app button, the app is disassociated from a particular service.
Context Based Options
You can perform various actions on an existing service from the API Management page.

In the API Management page, click the contextual menu of the required service. It contains the following options:

Edit: Opens a service in the console and allows you to edit the service definition and operations. After you edit a service, you need to republish all the apps that are using the service to apply the changes.
Note: If a service is a part of a published app, you can rename that service only after the app is unpublished.

Edit Configuration: For objects services, opens the service in the console and allows you to edit the objects service definition and operations.
Clone: Duplicates an existing service. Clone a service to create a different version of the service. Changes made to a cloned service will not affect the original service. The name of a cloned service indicates that it is a copy of an existing service.
Clone App Data Model: For objects services, duplicates an existing app data model of an objects service. Clone a service to create a different version of the service. Changes made to a cloned service will not affect the original service. The name of a cloned service indicates that it is a copy of an existing service.
Publish Service: Republishes a service. Refer Publishing Individual Services
Sample Code: Generates dynamic code for each SDK type based on the configuration of a service. You can use the code in your mobile app. For example, generate the sample code for an integration or orchestration service from Volt MX Foundry. Then use that code in the mobile app to invoke the orchestration service instance.
Delete all versions: Deletes all versions of a service. You cannot delete a version of the service that is in use. A service in use is a service that is referenced by a Volt MX Foundry app or another service or a Sync scope.

Click the Delete all versions button to display the Delete Service dialog.

Click DELETE. If the current of the service is not linked to any apps, the versions is deleted. Otherwise, the Error warns you that you are trying to delete the current version of the service that cannot be unlinked or deleted as it is being used by the following apps or services or Sync scopes: [App Name]

Note: If a service is a part of a published app, you can delete that service only after you unlink the service from all the published app.

Manage versions: Delete one or more versions of a service.

Click the Manage versions button to display the Manage versions dialog lists versions of the service.

Hover your cursor over the required version, and click the Delete button. When you click the Delete button, the Delete Service dialog appears.
To confirm the deletion of the version, click DELETE. If the current version of the service is not linked to any apps, the versions is deleted. Otherwise, the Error warns you that you are trying to delete the current version of the service that cannot be unlinked or deleted as it is being used by the following apps or services or Sync scopes: [App Name]

Important: You cannot remove the current version of a service from a service level.
For example, If you are in the Service Definition tab of a service from APIs and try to delete a version of a service, you can delete all the versions of a service except the current version.

Audit Logs helps you to capture all the user activities performed in a service. Object Name, Object Type and Modified On fields are prepopulated with the Service Name, Services, and Last 7 Days respectively.

For more information on Audit Logs, refer to Audit Logs documentation.

Note: This feature is applicable only for Integration, Orchestration, and Object Services.

Console Access Control: Controls the access to the applications and services of apps.
Export as XML: Exports an existing version of a service to an XML file.
Export: Exports an existing version of a service to a zip file. You can import the service to an existing app in the Volt MX Foundry Console. For more information, refer Exporting and Importing an Application.
Validate: Validates the service definition of an objects service."
